"Values - Electronic card transactions A/S/T by industry group (Monthly)",""
"2019M06",550.4
"2019M07",562.2
"2019M08",569.9
"2019M09",555.7
"2019M10",595.8
"2019M11",609.9
"2019M12",632.4
"2020M01",608.8
"2020M02",588.7
"2020M03",503.4
"2020M04",185.8
"2020M05",394.3
"2020M06",466.1
"2020M07",517.8
"2020M08",463.2
"2020M09",496.3
"2020M10",530.7
"2020M11",508.4
"2020M12",558.8
"2021M01",524.5
"2021M02",493.9
"2021M03",547.3
"2021M04",542.4
"2021M05",547.0
"2021M06",536.9
"2021M07",568.4
"2021M08",408.6
"2021M09",411.2
"2021M10",502.3
"Table information:"
"Units:"
"$, Magnitude = Millions"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ECT004AA"
""
"Last updated:"
"09 November 2021 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
