City, Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
Hamilton, Ruakura 2 Ews,May-2017,68,187.3,-,
Hamilton, Ruakura 2 Ews,Jun-2017,68,236.2,-,
Hamilton, Ruakura 2 Ews,Jul-2017,68,286.4,-,
Hamilton, Ruakura 2 Ews,Aug-2017,68,226.4,-,
Hamilton, Ruakura 2 Ews,Sep-2017,68,180.1,-,
Hamilton, Ruakura 2 Ews,Oct-2017,68,134.6,-,
Hamilton, Ruakura 2 Ews,Nov-2017,68,63.5,-,
Hamilton, Ruakura 2 Ews,Dec-2017,68,4.9,-,
Hamilton, Ruakura 2 Ews,Jan-2018,68,0.0,-,
Hamilton, Ruakura 2 Ews,Feb-2018,68,6.0,-,
Hamilton, Ruakura 2 Ews,Mar-2018,68,8.4,-,
Hamilton, Ruakura 2 Ews,Apr-2018,68,81.3,-,
Hamilton, Ruakura 2 Ews,May-2018,68,161.0,-,
Hamilton, Ruakura 2 Ews,Jun-2018,68,242.3,-,
Hamilton, Ruakura 2 Ews,Jul-2018,68,265.0,-,
Hamilton, Ruakura 2 Ews,Aug-2018,68,237.7,-,
Hamilton, Ruakura 2 Ews,Sep-2018,68,175.7,-,
Hamilton, Ruakura 2 Ews,Oct-2018,68,149.9,-,
Hamilton, Ruakura 2 Ews,Nov-2018,68,77.2,-,
Hamilton, Ruakura 2 Ews,Dec-2018,68,13.5,-,
Hamilton, Ruakura 2 Ews,Jan-2019,68,4.5,-,
Hamilton, Ruakura 2 Ews,Feb-2019,68,6.4,-,
Hamilton, Ruakura 2 Ews,Mar-2019,68,4.1,-,
Hamilton, Ruakura 2 Ews,Apr-2019,68,110.8,-,
Hamilton, Ruakura 2 Ews,May-2019,68,156.1,-,
Hamilton, Ruakura 2 Ews,Jun-2019,68,253.6,-,
Hamilton, Ruakura 2 Ews,Jul-2019,68,238.1,-,
Hamilton, Ruakura 2 Ews,Aug-2019,68,230.8,-,
Hamilton, Ruakura 2 Ews,Sep-2019,68,185.6,-,
Hamilton, Ruakura 2 Ews,Oct-2019,68,145.0,-,
Hamilton, Ruakura 2 Ews,Nov-2019,68,62.1,-,
Hamilton, Ruakura 2 Ews,Dec-2019,68,23.9,-,
Hamilton, Ruakura 2 Ews,Jan-2020,68,23.0,-,
Hamilton, Ruakura 2 Ews,Feb-2020,68,7.2,-,
Hamilton, Ruakura 2 Ews,Mar-2020,68,38.4,-,
Hamilton, Ruakura 2 Ews,Apr-2020,68,100.3,-,
Hamilton, Ruakura 2 Ews,May-2020,68,174.7,-,
Hamilton, Ruakura 2 Ews,Jun-2020,68,189.9,-,
Hamilton, Ruakura 2 Ews,Jul-2020,68,251.9,-,
Hamilton, Ruakura 2 Ews,Aug-2020,68,213.2,-,
Hamilton, Ruakura 2 Ews,Sep-2020,68,178.6,-,
Hamilton, Ruakura 2 Ews,Oct-2020,68,120.2,-,
Hamilton, Ruakura 2 Ews,Nov-2020,68,63.9,-,
Hamilton, Ruakura 2 Ews,Dec-2020,68,45.2,-,
Hamilton, Ruakura 2 Ews,Jan-2021,68,13.1,-,
Hamilton, Ruakura 2 Ews,Feb-2021,68,4.3,-,
Hamilton, Ruakura 2 Ews,Mar-2021,68,21.3,-,
Hamilton, Ruakura 2 Ews,Apr-2021,68,93.0,-,
Hamilton, Ruakura 2 Ews,May-2021,68,173.6,-,
Hamilton, Ruakura 2 Ews,Jun-2021,68,205.9,-,
Hamilton, Ruakura 2 Ews,Jul-2021,68,279.0,-,
Hamilton, Ruakura 2 Ews,Aug-2021,68,245.3,-,
Hamilton, Ruakura 2 Ews,Sep-2021,68,199.0,-,
Hamilton, Ruakura 2 Ews,Oct-2021,68,117.4,-,
